,skblid,description,detail,occupationtype,from,place
1218,MartaMaasFjetterstrom,Konstnär,"Textilkonstnär, formgivare, egen ateljé",Yrke,"{'comment': '1919', 'date': '1919'}","{'pin': {'lat': '56.427389', 'lon': '12.847722'}, 'place': 'Båstad'}"
1219,BrittIngegerdMoller,Konstnär,Konstnär,Yrke,"{'comment': '1985', 'date': '1985'}","{'pin': {'lat': 59.759584, 'lon': 18.701358}, 'place': 'Norrtälje'}"
1220,GreteMoller,Lärare,"Lärare, Nyckelviksskolan",Yrke,{'comment': '1970-talet'},"{'pin': {'lat': 59.36296, 'lon': 18.1468}, 'place': 'Lidingö'}"
1221,BlankaavNamur0,Drottning av Sverige och Norge,Drottning av Sverige och Norge,Yrke,"{'comment': '1335', 'date': '1335'}",
1222,GretaNaterberg,Sångare,Vissångare,Yrke,{'comment': '1790-talet'},
1223,RuthNathorst,Missionär,"Missionär, lärare, skribent",Yrke,"{'comment': '1918', 'date': '1918'}","{'pin': {'lat': 28.228209, 'lon': 112.938814}, 'place': 'Changsha, Kina'}"
1224,AlmaGunillaMariaGullNatorp,Skådespelare,Skådespelare,Yrke,"{'comment': '1905', 'date': '1905'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1225,MathildaNaumann,Författare,Författare,Yrke,"{'comment': '1872', 'date': '1872'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
1226,EvaLydiaCarolinaNeander,Journalist,"Journalist, Vecko-Journalen",Yrke,"{'comment': '1946', 'date': '1946'}",
1227,SolveigMarianneRagnhildNellinge,Verkställande direktör,"Ägare, fr o m 1978 VD, fr o m 1991 delägare, Bokförlaget Trevi AB",Yrke,"{'comment': '1971', 'date': '1971'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1228,AsaNelvin,Författare,,Yrke,,
1229,LovisaMathildaNettelbladt,Lärare,"Lärare, brodyr och dekoration",Yrke,"{'comment': '1850', 'date': '1850'}","{'pin': {'lat': '37.09024', 'lon': '-95.712891'}, 'place': 'USA'}"
1230,CeciliaAinaNettelbrandt,Diplomat,"Svensk ambassadör, Filippinerna",Yrke,"{'comment': '1983', 'date': '1983'}","{'pin': {'lat': 14.5906216, 'lon': 120.9799696}, 'place': 'Manila, Filippinerna'}"
1231,LauraConstanceNetzel,Socialt och filantropiskt arbete,"Filantropisk verksamhet, bl a etableringen av Sophiahemmet, Stockholms barnmorskesällskaps sjukkassa, arbetsskolor, fonder m m",Ideellt arbete,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1232,AnnaSofiaNilsdotter,Sömmerska,"Konstsömmerska, t o m 1868 Blackstad, 1868–1897 Västervik, 1897–1909 Linneryd, 1909–1922 Ljuder",Yrke,{'comment': '?'},
1233,MarnaNilsdotter,Läkare,"Läkekvinna, &quot;Kokvinnan&quot;, benbrottsläkare",Yrke,{'comment': '?'},"{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
1234,KristinaNilsdotterGyllenstierna,Barnflicka,Barnflicka åt Gustav Vasas barn,Yrke,{'comment': '1550-talet'},"{'pin': {'lat': '59.195363', 'lon': '17.625689'}, 'place': 'Södertälje'}"
1235,AdaNilsson,Kommittéledamot,"Stockholms fattigvårdsnämnds kommitté för upprättande av spädbarnshem, ledamot",Yrke,"{'comment': '1908', 'date': '1908'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1236,AnnaQNilsson,Skådespelare,"Skådespelare, filmstjärna, USA och Sverige",Yrke,"{'comment': '1911', 'date': '1911'}",
1237,AnnaAlidaTheresiaNilsson,Utställningsarbete,"Initiativtagare, ledamot av lokalkommittén, Kvinnornas hus på Baltiska utställningen",Ideellt arbete,"{'comment': '1913', 'date': '1913'}","{'pin': {'lat': 55.604981, 'lon': 13.003822}, 'place': 'Malmö'}"
1238,BarbroNilsson,Lärare,"Gästlärare, konsthantverksskolan i Köpenhamn",Yrke,,"{'pin': {'lat': '55.676097', 'lon': '12.568337'}, 'place': 'Köpenhamn, Danmark'}"
1239,BrittIngaMarieNilsson,Professor,"Professor, överläkare och chef, Koagulationslaboratoriet",Yrke,"{'comment': '1965', 'date': '1965'}","{'pin': {'lat': 55.604981, 'lon': 13.003822}, 'place': 'Malmö'}"
1240,ChristinaNilsson1,Författare,,Yrke,,
1241,ChristinaNilsson,Sångare,Operasångare,Yrke,"{'comment': '1864', 'date': '1864'}",
1242,EmiliaEvaEmmyNilsson,Teaterdirektör,"Barnteaterledare, dramapedagog, teaterkonsulent",Yrke,"{'comment': '1963', 'date': '1963'}","{'pin': {'lat': 59.275263, 'lon': 15.213411}, 'place': 'Örebro'}"
1243,EsterElviraNilsson,Konstnär,Konstnär,Yrke,{'comment': '1910-talet'},"{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1244,EsterNilsson,Journalist,"Reporter, Stockholms-Tidningen",Yrke,"{'comment': '1919', 'date': '1919'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1245,IdaNilsson,Forskare,"Insamling, uppteckning och klassifikation av bl a folkliga talesätt och beskrivning av mynt",Ideellt arbete,{'comment': '1900-talet'},"{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
1246,IdaKristinaNilsson,Hotell- och restaurangarbete,"Grundare, ägare, Sillegårds Brunn- och Badinrättning, Restaurang och Pensionat",Yrke,"{'comment': '1916', 'date': '1916'}","{'pin': {'lat': 59.729167, 'lon': 13.140833}, 'place': 'Västra Ämtervik'}"
1247,MajBrittNilsson,Skådespelare,"Skådespelare, Dramaten 1947–1951, Vasateatern 1952–1985, filmskådespelare 1941–1977",Yrke,"{'comment': '1947', 'date': '1947'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1248,BirgitNilsson,Sångare,"Operasångare, internationellt verksam",Yrke,"{'comment': '1946', 'date': '1946'}",
1249,NillaElisabethNilsson,Ledamot,"Ledamot, Malmö stads nykterhetsnämnd",Ideellt arbete,,"{'pin': {'lat': 55.604981, 'lon': 13.003822}, 'place': 'Malmö'}"
1250,SofiNilsson,Skribent,Läromedelsförfattare,Yrke,"{'comment': '1893', 'date': '1893'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1251,VeraNilsson,Konstnär,,Yrke,"{'comment': '1910', 'date': '1910'}",
1252,CatharinaNilssonGehlin,Konstnär,Konstnär,Yrke,"{'comment': '1948', 'date': '1948'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1253,MajNodermann0,Intendent,"Intendent, Nordiska museet",Yrke,"{'comment': '1964', 'date': '1964'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1254,EmilyNonnen,Översättare,Översättare,Yrke,{'comment': '1860-talet'},"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1255,AnneLiNorberg,Lärare,"Gymnasielärare, teater, Södra Latin",Yrke,"{'comment': '2000', 'date': '2000'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1256,EvaNorberg,Bibliotekarie,,Yrke,{'comment': '1970-talet'},"{'pin': {'lat': '59.619146', 'lon': '17.723419'}, 'place': 'Sigtuna'}"
1257,AlvaNordberg,Hotell- och restaurangarbete,"Kokerska, även innehavare, servering för sommargäster",Yrke,{'comment': '1900-talet'},
1258,EbbaNordenadler,Översättare,,Yrke,,
1259,KerstinNordendahl,Inspektör,"Sjuksköterskeinspektör, fr o m 1942 byråinspektör, Medicinalstyrelsen",Yrke,"{'comment': '1920', 'date': '1920'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1260,MariaNordenfelt,Skolgrundare,"Skolgrundare, Maria Nordenfelts högre handarbetsseminarium",Yrke,"{'comment': '1901', 'date': '1901'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1261,HedvigCharlottaNordenflycht,Författare,,Yrke,,
1262,BerthaNordensson,Socialt och filantropiskt arbete,,Ideellt arbete,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1263,EvaVilhelminaNordenson,Styrelseledamot,"Styrelseledamot, Thielska Galleriet 1985–1995, Zornsamlingarna 1990–1999, Postens konst- och programråd 1991–2001",Ideellt arbete,"{'comment': '1985', 'date': '1985'}",
1264,KerstinBirgittaNordenstam,Universitetslektor,"Vikarierande lektor, Journalisthögskolan",Yrke,"{'comment': '1980', 'date': '1980'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1265,EllenNordenstreng,Författare,Författare,Yrke,,
1266,AnnaNordgren,Konstnär,Konstnär,Yrke,{'comment': '1870-talet'},
1267,OliviaNordgren,Riksdagsledamot,,Yrke,"{'comment': '1925', 'date': '1925'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1268,AliceNordin,Konstnär,,Yrke,,
1269,EllenMargitIngridNordin,Sjukgymnast,Gymnastikdirektör,Yrke,"{'comment': '1946', 'date': '1946'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
1270,VeraNordin,Tidskriftsredaktör,"Redaktör, Hertha",Yrke,"{'comment': '1977', 'date': '1977'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1271,MarjaNordin,Konstnär,Textilkonstnär,Yrke,"{'comment': '1964', 'date': '1964'}",
1272,AntoinetteNording,"Företagare, fabrikör","Parfymör, tillverkare av Eau-de-Cologne, importör av tvål m m",Yrke,"{'comment': '1847', 'date': '1847'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1273,IngeborgNordinHennel,Professor,Professor i litteraturvetenskap,Yrke,"{'comment': '1997', 'date': '1997'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
1274,HjordisNordinTengbom,Konstnär,,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1275,AnnaNordlander,Konstnär,Konstnär,Yrke,"{'comment': '1850', 'date': '1850'}",
1276,ElsaBritaNordlund,Tjänsteman,"Expert, Medicinalstyrelsen (nuvarande Socialstyrelsen)",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1277,AgdaNordlof,Konstnär,Konstnär,Yrke,{'comment': '1940-talet'},
1278,EllenNordmark,Missionär,"Missionär, lärare, rektor, skolinspektör",Yrke,"{'comment': '1931', 'date': '1931'}","{'pin': {'lat': 9.9662267, 'lon': 77.8287251}, 'place': 'Usilampatti, Indien'}"
1279,AaseNordmoLvberg,Chef,"Chef, Den Norske Opera",Yrke,"{'comment': '1978', 'date': '1978'}","{'pin': {'lat': '59.913869', 'lon': '10.752245'}, 'place': 'Oslo, Norge'}"
1280,EsterBlendaNordstrom,Lärare,"Lärare, sameskola",Yrke,"{'comment': '1915', 'date': '1915'}","{'pin': {'lat': 65.929, 'lon': 16.743}, 'place': 'Lappland'}"
1281,MargaretaNordstrom,Ledamot,"Ledamot, Frälsningsarméns vårdyrkesskola",Ideellt arbete,"{'comment': '1968', 'date': '1968'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1282,HannaNordstrom,Tobaksarbetare,Cigarrmakare,Yrke,{'comment': '?'},
1283,TeklaNordstrom,Lärare,Lärare i xylografi,Yrke,{'comment': '1900-talet'},
1284,ToraNordstromBonnier,Översättare,Översättare,Yrke,"{'comment': '1925', 'date': '1925'}",
1285,MargarethaEmerentiaNordstromMargaretaNylander,Skribent,Kokboksförfattare,Yrke,"{'comment': '1822', 'date': '1822'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1286,IrmaNordvang,Författare,"Poet, författare",Yrke,{'comment': '1930-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1287,GunnelNorellSoderblom,Ombudsman,"Justitieombudsman (JO), fr o m 1995 ställföreträdande JO",Yrke,"{'comment': '1987', 'date': '1987'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1288,BirgittaNoren,Domare,"Rådman, Gävleborgs länsrätt",Yrke,"{'comment': '1979', 'date': '1979'}","{'pin': {'lat': 60.67488, 'lon': 17.141273}, 'place': 'Gävle'}"
1289,SveaNoren,Kassör,Kassör,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1290,IngridNorlander,Jurist,"Ledamot, Hyresnämnden",Yrke,"{'comment': '1970', 'date': '1970'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1291,IdaNorrby,Kommun- och landstingspolitiker,"Ledamot, Uppsala stadsfullmäktige",Ideellt arbete,"{'comment': '1918', 'date': '1918'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
1292,AnnaNorrie,Lärare,"Dramapedagog, plastiklärare, Kungliga Dramatiska Teaterns elevskola, medgrundare, Calle Flygare teaterskola",Yrke,"{'comment': '1933', 'date': '1933'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1293,AlmaNorsell,Facklig verksamhet,,Ideellt arbete,,
1294,AnjaMaritaNotini,Konstnär,"Konstnär, keramiker",Yrke,"{'comment': '1990', 'date': '1990'}",
1295,AstridNyberg,Direktör,"Direktör, boktryckeri",Yrke,{'comment': '?'},"{'pin': {'lat': 57.107118, 'lon': 12.252091}, 'place': 'Varberg'}"
1296,VenClaraMartinaNyberg,Journalist,"Journalist, redaktör, fr o m 1966 frilans, Svenska Dagbladet",Yrke,"{'comment': '1922', 'date': '1922'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1297,JuliaNybergEuphrosyne,Lärare,,Yrke,"{'comment': '1802', 'date': '1802'}","{'pin': {'lat': '59.716482', 'lon': '16.430292'}, 'place': 'Skultuna'}"
1298,ElsaNyblom,Förlagsanställd,"Litterär rådgivare, Ljus förlag",Yrke,"{'comment': '1946', 'date': '1946'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1299,HelenaAugustaNyblom,Litteraturkritiker,"Kulturkritiker, bl a Idun, Nordisk tidskrift för vetenskap, konst och industry, Ny Svensk Tidskrift, Ord &amp; Bild",Yrke,{'comment': '1880-talet'},
1300,OlgaNyblom,Tidskriftsredaktör,"Redaktör, Husmodern och Vårt Hem",Yrke,"{'comment': '1921', 'date': '1921'}","{'pin': {'lat': 59.307903, 'lon': 18.156042}, 'place': 'Nacka'}"
1301,VeronicaNygren,Professor,"Professor, textil konst och formgivning, Konstfack",Yrke,"{'comment': '1989', 'date': '1989'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1302,HildurNygren,Utredare,Utredare angående utnyttjande av de nya vetenskapliga rönen på audiologins och audiometrins område i vården av döva barn,Yrke,"{'comment': '1951', 'date': '1951'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1303,AnnaMajaNylen,Lärare,"Lärare, slöjdhistoria, Handarbetets Vänners vävskola",Yrke,"{'comment': '1963', 'date': '1963'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1304,LenaNyman,Lärare,"Dramapedagog, Statens scenskola i Stockholm och Teaterhögskolan i Malmö",Yrke,{'comment': '1990-talet'},
1305,MariaLovisaMayaNymann,Lärare,"Slöjdlärare, Göteborgs praktiska arbetsskola för gossar och flickor (Praktiska arbetsskolan)",Yrke,"{'comment': '1883', 'date': '1883'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1306,JennyNystrom,Konstnär,"Konstnär, illustratör, bl a Axel Eliassons Konstförlag, Norstedts Förlag, Hökerbergs Bokförlag, EFS, Beijers Bokförlags AB och Oscar Lamms förlag",Yrke,"{'comment': '1886', 'date': '1886'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1307,AnnaLisaDagmarSofiaOdelqvistKruse,Konstnärlig ledare,"Konstnärlig ledare, t o m 1980 VD, Libraria Konsthantverk AB",Yrke,"{'comment': '1969', 'date': '1969'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1308,BirgittaOden,Professor,"Professor, historia, Lunds universitet",Yrke,"{'comment': '1965', 'date': '1965'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
1309,HannaOdhner,Skolföreståndare,"Föreståndare, Lunnevads kvinnliga folkhögskola",Yrke,"{'comment': '1883', 'date': '1883'}","{'pin': {'lat': 58.365, 'lon': 15.372222}, 'place': 'Sjögestad'}"
1310,CamillaOdhnoff,Landshövding,"Landshövding, Blekinge län",Yrke,"{'comment': '1974', 'date': '1974'}","{'pin': {'lat': 56.161224, 'lon': 15.5869}, 'place': 'Karlskrona'}"
1311,EllaOdstedt,"Arkivbiträde, folkminnesupptecknare","Arkivbiträde, Landsmålsarkivet i Uppsala (senare Landsmåls- och folkminnesarkivet  i Uppsala, nuvarande Dialekt- och folkminnesarkivet i Uppsala)",Yrke,,"{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
1312,RagnhildLailaLillemorOhlgren,Ingenjör,"Ingenjör, Televerket (fr o m 1993 Telia AB)",Yrke,"{'comment': '1956', 'date': '1956'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1313,MarthaOhlson,Lärare,"Pianopedagog, privat regi",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1314,ThoraOhlsson,Sjukgymnast,"Sjukgymnast, egen praktik",Yrke,"{'comment': '1897', 'date': '1897'}","{'pin': {'lat': 51.507351, 'lon': -0.127758}, 'place': 'London, Storbritannien'}"
1315,ValborgOlander,Inspektor,"Inspektor, Falu elementarläroverk för flickor",Yrke,"{'comment': '1912', 'date': '1912'}","{'pin': {'lat': '60.60646', 'lon': '15.6355'}, 'place': 'Falun'}"
1316,ElsaOlenius,Konsulent,Barnteaterkonsulent,Yrke,"{'comment': '1958', 'date': '1958'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1317,ElisabethOlin,Sångare,"Operasångare, skådespelare, tonsättare, musiker, Stora Bollhusets teater och Kungliga Teatern",Yrke,"{'comment': '1747', 'date': '1747'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1318,RosalieOlivecrona,Utställningsarbete,"Ansvarig, avdelningarna för kvinnlig slöjd, flera världsutställningar",Yrke,"{'comment': '1873', 'date': '1873'}",
1319,EvaOlliwier,Kontorist,Kontorist,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1320,ElisabethLisbethaOlofsdotter,Soldat,Soldat under namnet Mats Ersson,Yrke,"{'comment': '1676', 'date': '1676'}",
1321,IngelaOlofsdotterGathenhielm,Företagare,"Företagare, framför allt rederiverksamhet, repslageri",Yrke,{'comment': '1710-talet'},"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1322,BritaOlofsdotterTott,Godsägare,"Godsägare, egendomar i Sverige och Danmark, främst Hammersta",Yrke,"{'comment': '1469', 'date': '1469'}",
1323,KarinOlsdotter,Abbedissa,"Abbedissa, Vadstena kloster",Yrke,"{'comment': '1593', 'date': '1593'}","{'pin': {'lat': 58.447602, 'lon': 14.890234}, 'place': 'Vadstena'}"
1324,AlfaSofiaOlsson,Forskare,"Etnolog, folklivsforskare, skribent",Yrke,{'comment': '1950-talet'},
1325,AugustaGeorginaCeciliaOlsson,Skolledare,"Grundare, ledare och lärare, egen dansskola",Yrke,,
1326,BettyEugeniaOlsson,Ombudsman,"Lokalombud, Upplysningsnämnden i Norrköping",Ideellt arbete,"{'comment': '1940', 'date': '1940'}","{'pin': {'lat': 58.587745, 'lon': 16.192421}, 'place': 'Norrköping'}"
1327,BibbiOlsson,Verkställande direktör,"Grundare, delägare, VD, Arkitekturkompaniet AB",Yrke,"{'comment': '1992', 'date': '1992'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1328,CillufOlsson0,Textilkonstnär,"Textilkonstnär, konstvävare",Yrke,,
1329,MartaLisaLizzieOlssonArle,Rektor,"Lärare, sedermera rektor, Gerlesborgsskolan",Yrke,,
1330,HildaOlssonKerstinHed,Författare,"Poet, skribent",Yrke,"{'comment': '1913', 'date': '1913'}","{'pin': {'lat': '60.2775453', 'lon': '15.985892000000035'}, 'place': 'Hedemora'}"
1331,EivorOlssonLagman,Typograf,,Yrke,,"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
1332,MargaretaOrreblad,Gallerist,"Gallerist, Galleri Mors Mössa",Yrke,"{'comment': '1973', 'date': '1973'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
1333,MariaOsberg,Sömmerska,,Yrke,,
1334,AnnaDorotheaOscar,Sångare,"Operasångare, Kungliga teatern (nuvarande Kungliga Operan)",Yrke,"{'comment': '1895', 'date': '1895'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1335,GerdOsten,Regissör,"Regissör, filmmakare",Yrke,{'comment': '1930-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1336,IngridMariaOsvald,Riksdagsledamot,"Riksdagsledamot, för Folkpartiet, Stockholms och Uppsala läns valkrets",Yrke,"{'comment': '1947', 'date': '1947'}",
1337,JeannaOterdahl,Författare,,Yrke,,
1338,HildurOttelin,Kommun- och landstingspolitiker,"Ledamot, Uppsala stadsfullmäktige",Ideellt arbete,"{'comment': '1912', 'date': '1912'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
1339,EliseOttesenJensen,Sexualupplysare,"Sexualupplysare, skribent, debattör, Riksförbundet för sexuell upplysning (RFSU)",Yrke,"{'comment': '1933', 'date': '1933'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1340,HannaOuchterlony,Frälsningssoldat,"Officer i Frälsningsarmén, ledare för norska Frälsningsarmén",Yrke,"{'comment': '1894', 'date': '1894'}","{'pin': {'lat': '59.913869', 'lon': '10.752245'}, 'place': 'Oslo, Norge'}"
1341,ChristianaOxenstierna,Socialt och filantropiskt arbete,"Välgörenhetsarbete, bl a undervisning av fattiga barn",Ideellt arbete,"{'comment': '1691', 'date': '1691'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1342,EvaMagdalenaOxenstierna,Godsägare,"Godsförvaltare, representativ verksamhet som grevinna",Yrke,"{'comment': '1690', 'date': '1690'}",
1343,FredriquePaijkull,Översättare,,Yrke,"{'comment': '1879', 'date': '1879'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
1344,FridaPallin,Kyrklig verksamhet,"Organisatör, deltagare, Porlamötena",Ideellt arbete,"{'comment': '1913', 'date': '1913'}","{'pin': {'lat': 59.0275, 'lon': 14.663889}, 'place': 'Porla brunn'}"
1345,ReginaOttoniePallin,Skolföreståndare,"Biträdande föreståndare, Högre lärarinneseminariet",Yrke,"{'comment': '1864', 'date': '1864'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
